,IF,IT,EF,ET
민속자연사박물관,0,0,0,0
오설록티뮤지엄,2.197401062,2.197401062,0.676123404,0.845154255
본태박물관,1.697749375,0.338061702,1.014185106,0.338061702
테디베어박물관,1.765045216,1.85933936,0.676123404,0.338061702
아쿠아플라넷 제주,1.876629727,1.521277659,0.507092553,0.338061702
감귤박물관,1.549193338,0.676123404,0.169030851,0.676123404
수풍석뮤지엄,1.154700538,2.028370211,1.014185106,0.507092553
아르떼뮤지엄 제주,2.556038602,1.521277659,1.014185106,0.169030851
유민미술관,0.9701425,0.845154255,1.183215957,0.169030851
이중섭 미술관,1.386750491,1.014185106,0.169030851,0.169030851
해녀박물관,1.788854382,0.169030851,0,0
카트테마파크,1.886484437,1.85933936,1.014185106,1.014185106
씨워커,1.6,1.352246808,1.183215957,0.338061702
승마 체험,2.088931871,1.521277659,1.352246808,0.676123404
ATV,1.643167673,2.028370211,0.845154255,0.676123404
서핑,1.118033989,0.845154255,0.845154255,0.845154255
선셋요트투어,2.309401077,2.535462764,1.690308509,1.183215957
스노쿨링,1.414213562,1.85933936,1.183215957,1.014185106
서바이벌 게임,1.714985851,2.366431913,0.845154255,0.845154255
감귤따기 체험,2.948839123,1.85933936,1.183215957,1.352246808
해녀 체험,0.316227766,0.676123404,0.507092553,0.338061702
바다 낚시,0.866025404,1.014185106,0.338061702,0.169030851
황우지해안,1.178511302,1.352246808,0.676123404,0.169030851
함덕해수욕장,2.334868926,1.183215957,1.014185106,0.845154255
협재해수욕장,2.948839123,2.366431913,1.183215957,0.845154255
중문색달해수욕장,0.688247202,1.690308509,0.676123404,0.338061702
논짓물,1.206045378,0.338061702,0,0.845154255
월정리해변,3.042434922,1.183215957,0.338061702,1.85933936
주상절리대,1.914854216,1.85933936,0.676123404,1.183215957
용머리해안,1.788854382,1.352246808,0.338061702,0.338061702
제주절물자연휴양림,2.132007164,1.183215957,0.338061702,0.507092553
새별오름,2.427119505,2.535462764,2.197401062,1.521277659
송악산둘레길,1.5,1.014185106,0.507092553,0.169030851
한라산,1.972787848,2.366431913,1.014185106,0.845154255
비자림,1.889822365,1.521277659,0.507092553,1.014185106
성산일출봉,1.700840129,1.85933936,0.169030851,1.183215957
만장굴,1.664100589,0.676123404,0,0.507092553
섭지코지,1.6,1.690308509,0.676123404,0.507092553
사려니숲길,2.801397167,2.535462764,1.183215957,0.845154255
올레길,1.975658322,1.521277659,1.183215957,0.676123404
서우봉,1.565247584,1.014185106,0.507092553,0.676123404
쇠소깍,1.118033989,1.352246808,0.507092553,0.676123404
카멜리아힐,3.00520382,1.183215957,0.845154255,0.507092553
천지연 폭포,2.301585822,1.521277659,1.014185106,1.352246808
보롬왓,2.969848481,2.197401062,1.352246808,1.352246808
우도,2.857738033,2.704493615,1.690308509,1.183215957
미로공원,1.856953382,1.85933936,0.676123404,0.676123404
에코랜드,1.069044968,0.676123404,0.338061702,0.676123404
제주민속오일시장,1.264911064,0.507092553,0.507092553,0
동문재래시장,2.088931871,2.028370211,1.014185106,0.507092553
도치돌 알파카 목장,2.401922307,1.690308509,1.85933936,0.507092553
정방폭포,0.377964473,0.507092553,0.338061702,0.169030851
